KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Türkçe,Greek,Dutch,Vietnamese
igmEffectNecrosis,"You are suffering from a Necrosis. Use Antibiotic Ointment, Antibiotic Pills or a Trauma Kit!","Du leidest an Nekrosen. Nutze antibiotische Salbe, antibiotische Pillen oder ein Trauma Kit!","Vous souffrez d'une Nécrose. Utilisez une Pommade Antibiotique, des Pilules antibiotiques ou un kit Trauma!","Hai una Necrosi. Usa un Unguento Antibiotico, delle Pillole Antibiotiche o un Kit per Traumi!","Estás sufriendo de una necrosis. ¡Use Bálsamo antibiótico, pastillas antibióticas o un kit de trauma!",,"Você esta com Tonturas devido uma Necrose! Use uma Pomada Antibiótica, uma Pílula Antibiótica ou um Kit Trauma!","Cierpisz na martwicę. Użyj maści antybiotykowej, antybiotyku albo zestawu pourazowego!","Вы страдаете от некроза. Используйте Мазь антибиотика, Таблетки антибиотика или Комплект от травм!",壊死に苦しんでいます。抗生物質(軟膏か錠剤)、または外傷キットを使用してください！,你的坏疽伤口发作了。赶紧使用抗生素药膏，抗生素药片或外科医疗包！,,,"Kangren olmuşsun. Antibiyotik Merhem, Antibiyotik Hapları veya Travma Paketi kullanın!","Υποφέρεις από Νέκρωση. Χρησιμοποίησε Αντιβιοτική Αλοιφή, Αντιβιοτικά Χάπια ή ένα Σετ Τραύματος!",,
igmEffectOrganFailure,Organ Failure imminent! Use a Antitoxic Injection or a Detox Kit!,Organversagen! Nutze eine Gegengift Injektion oder ein Detox Kit!,Défaillance Organique imminente! Utilisez une Injection Antitoxique ou un Kit Désintoxication!,Insufficienza d'Organo imminente! Usa un Iniezione Antitossica o un Kit di Disintossicazione!,Falla Orgánica inminente! ¡Use una inyección antitóxica o un kit de desintoxicación!,,Falência de Orgãos eminente! Use uma Injeção Antibiótica ou um Kit Detox!,Niewydolność wielonarządowa! Natychmiast weź zastrzyk z antytoksyną albo użyj zestawu do detoksykacji!,Неизбежен скорый отказ внутренних органов!. Используйте Инъекцию антитоксинов или Комплект детоксикации!,深刻な臓器不全が多発しています！直ちにげ解毒薬(注射)または解毒キットを使用してください！！,心律降低，器官衰竭，命悬一线！赶紧使用抗毒素注射液或解毒医疗包！,,,Organ Yetmezliği baş gösteriyor! Antitoksik İğne veya Detoks Paketi kullanın!,Επικείμενη Αποτυχία Οργάνων! Χρησιμοποίησε μία Αντιτοξική Ένεση ή ένα Detox Σετ!,,
igmEffectIntoxication,"You are suffering from Intoxication. Use Antitoxic Pills, Antitoxic Injection or a Detox Kit!","Du leidest unter einer Vergiftung! Nutze Entgiftungspillen, Gegengift Injektion oder ein Detox Kit!","Vous souffrez d'une Intoxication. Utilisez des Pilules Antitoxiques, une Injection Antitoxique ou un kit Désintoxication!!","Sei Intossicato! Usa delle Pillole Antitossiche, un Iniezione Antitossica o un Kit di Disintossicazione!","Estás sufriendo de intoxicación. ¡Use píldoras antitóxicas, inyección antitóxica o un kit de desintoxicación!",,"Você esta com Tontura devido Intexicação! Use Pílulas Anti-Tóxicas, Injeção Anti-Tóxica ou um Kit Detox!","Zatrułeś się. Zażyj tabletek antytoksynowych, zastrzyku z antytoksyną albo użyj zestawu do detoksykacji!","Вы страдаете от интоксикации. Используйте Таблетки антитоксинов, Инъекцию антитоксинов или Комплект детоксикации!",中毒に苦しんでいます。解毒薬(錠剤か注射)または解毒キットを使用してください！,醉酒产生幻觉，思维开始混乱。赶紧使用抗毒素药片，抗毒素注射液或解毒医疗包！,,,"Zehirlenmişsin. Antitoksik Haplar, Antitoksik İğne veya Detoks Paketi kullan!","Υποφέρεις από Τοξικομανία. Χρησιμοποίησε Αντιτοξικά Χάπια, Αντιτοξική Ένεση ή ένα Detox Σετ!",,
igmEffectBlackoutHot,Heat Collapse imminent! Reduce body temperature asap!,Hitzekollaps! Reduziere umgehend deine Körperstemperatur!,Syncope due à la Chaleur imminente! Diminuez la température du corps au plus vite!,Collasso Termico Imminente! Riduci la tua temperatura corporea il più presto possibile!,¡Colapso de calor inminente! ¡Reduzca la temperatura corporal lo antes posible!,,Você irá Desmaiar devido o Calor em breve! Reduza a temperatura do seu corpo o quanto antes!,Hipertermia! Natychmiast obniż temperaturę swojego ciała!,Неизбежен скорый тепловой коллапс! Уменьшите температуру тела как можно скорее!,暑さで意識を失おうとしています！早急に体温を下げてください！,热虚脱迫在眉睫！赶紧给身体降温！,,,Hipertermi olman yakın! Vücut ısını en kısa sürede düşürmelisin!,Επικείμενη Θερμική Κατάρρευση! Μείωσε την θερμοκρασία σώματος αμέσως!,,
igmEffectStunned,You got stunned for 5 seconds!,Du wurdest für 5 Sekunden paralysiert!,Vous êtes groggy pendant 5 secondes!,Sei stato stordito per 5 secondi!,Estas en shock por 5 seg.,,Você foi paralisado por 5 segundos!,Zostałeś ogłuszony na 5 sekund!,Вы парализованы на 5 секунд!,5秒間気絶しました！,你感到天地一片黑暗（休克5秒钟）！,,,5 saniyeliğine sersemledin!,Αναισθητοποιήθηκες για 5 δευτερόλεπτα!,,
Scanner2,Medical Station Type 3,Medizinstation Typ 3,Poste médical T3,Stazione Medica Classe 3,Scanner 2,Scanner 2,Estação Médica Tipo 3,Stacja Medyczna - typ 3,Мед станция тип 3,自動手術機,医疗站3型,掃描器2,스캐너 2,Sağlık Merkezi Tür 3,Ιατρικός Σταθμός Τύπου 3,Medisch station type 3,Trạm y tế loại 3
Scanner3,Medical Station Type 4,Medizinstation Typ 4,Poste médical T4,Stazione Medica Classe 4,Scanner 3,Scanner 3,Estação Médica Tipo 4,Stacja Medyczna - typ 4,Мед станция тип 4,自動除染治療機,医疗站4型,掃描器3,스캐너 3,Sağlık Merkezi Tür 4,Ιατρικός Σταθμός Τύπου 4,Medisch station type 4,Trạm y tế loại 4
ScannerBase1,Medical Station Type 2,Medizinstation Typ 2,Poste médical T2,Stazione Medica Classe 2,Scanner 1,Scanner 1,Estação Médica Tipo 2,Stacja Medyczna - typ 2,Мед станция тип 2,自動外傷治療機,医疗站2型,掃描器1,스캐너 1,Sağlık Merkezi Tür 2,Ιατρικός Σταθμός Τύπου 2,Medisch station type 2,Trạm y tế loại 2
Console4,Medical Station Type 1,Medizinstation Typ 1,Poste médical T1,Stazione Medica Classe 1,Scanner 4,Scanner 4,Estação Médica Tipo 1,Stacja Medyczna - typ 1,Мед станция тип 1,自動解毒治療機,医疗站1型,掃描器4,스캐너 4,Sağlık Merkezi Tür 1,Ιατρικός Σταθμός Τύπου 1,Medisch station type 1,Trạm y tế loại 1
RadiationSickness,Radiation Sickness,Strahlenkrankheit,Irradiation,Malattia da Radiazioni,Enfermedad por radiación,,Doença por Radiação,Ciężka choroba popromienna,Лучевая болезнь,放射線障害,辐射病,,,Radyasyon Hastalığı,Αρρώστια Ραδιενέργειας,Stralingsziekte,Nhiễm xạ
RadiationPoisoning,Radiation Poisoning,Strahlenvergiftung,Empoisonnement par Irradiation,Avvelenamento da Radiazioni,Envenenamiento por radiación,Envenenamento por Radiação,Envenenamento por Radiação,Choroba popromienna,Радиационное отравление,放射線中毒,辐射中毒,輻射中毒,방사선 중독,Radyasyon Zehirlenmesi,Δηλητηρίαση από Ραδιενέργεια,Stralingsvergiftiging,Nhiễm xạ cấp tính
igmEffectOpenWound,"You got an open wound. Use Antibiotic Ointment, Bandages, a Health Pack or a Trauma Kit!","Offene Wunde! Nutze antibiotische Salbe, Bandagen, Regenerations Packs oder ein Trauma Kit!","Vous avez une Plaie Ouverte. Utilisez une Pommade Antibiotique, des Bandages, un Composé régénérant ou un Kit Trauma!","Hai una ferita aperta. Utilizza un Unguento Antibiotico, delle Bende, un Kit di Soccorso o un Kit per Traumi!",Tienes una herida abierta. Usa un remedio apropiado (Kit médico o vendas) para curar la herida,Tem uma ferida aberta. Utilize um remédio adequado (ex.: medikit ou ligaduras) para sarar a ferida!,"Você esta com uma Ferida Aberta. Usa uma Pomada Antibiótica, Ataduras, Um Kit de Saúde ou um Kit Trauma!","Masz otwartą ranę. Użyj maści antybiotykowej, bandaża, zestawu do regeneracji albo zestawu pourazowego!","У вас открытая рана. Используйте Мазь антибиотика, Бинты, Комплект оздоровления или Комплект от травм!",開放創を負っています。傷を治療するために、適切な救済策(例えば、メディキットや包帯)を使用してください！,你受到一处外伤。使用抗生素药膏，绷带，保健医疗包或外科医疗包！,你的傷口已經開裂。使用恰當的自救方式（如醫療包或繃帶）治療傷口！,상처가 있습니다. 상처를 치유하는 적절한 치료법(예: 메디킷 또는 붕대)을 사용하십시오!,"Bir Açık Yaran var. Antibiyotik Merhem, Bandaj, Sağlık Paketi veya Travma Paketi kullan!","Έχεις μία ανοιχτή πληγή. Χρησιμοποίησε Αντιβιοτική Αλοιφή, Επιδέσμους, ένα Ιατρικό Πακέτο ή ένα Σετ Τραύματος!","Je hebt een open wond! Gebruik de antibiotische zalf, verband een gezondheidspakket of een trauma kit!","Bạn đang bị một vết thương hở! sử dụng thuốc mỡ kháng sinh, băng gạc, gói y tế hoặc một bộ chữa chấn thương"
igmEffectPoisonBite,You got a poison bite! Use Antitoxic Ointment or a Detox Kit!,Giftbiss! Nutze Entgiftungssalbe oder ein Detox Kit!,Vous êtes victime d'une Morsure Envenimée! Utilisez une Pommade Antitoxique ou un kit Désintoxication!,Sei stato avvelenato. Utilizza un Unguento Antitossico o un Kit di Disintossicazione!,Te han mordido y has sido envenenado. Usa un remedio apropiado (Kit médico o antídoto) para curar el envenenamiento,Foi mordido e agora está envenenado. Utilize um remédio adequado (ex.: medikit ou antídoto) para tratar o envenenamento!,Você esta com Envenenado por picada. Usa uma Pomada Anti-Tóxica ou um Kit Detox!,Zostałeś otruty. Użyj maści antybiotykowej albo zestawu do detoksykacji!,У вас отравленная рана. Используйте Мазь антитоксина или Комплект детоксикации!,噛まれ、毒にむしばまれています。 毒を除去するために、適切な救済策(例えば、メディキットや解毒剤)を使用してください！,你被咬并且中毒了。赶紧使用抗毒素药膏或解毒医疗包！,你被咬到並中毒了。使用恰當的自救方式（如醫療包或解藥）治療中毒狀態！,물렸기 때문에 이제 중독되게 됩니다. 식중독을 치료하는 적절한 치료법(예: 메디킷 또는 해독제)을 사용하십시오!,Zehirli Isırık var! Antitoksik Merhem veya Detoks Paketi kullan!,Έχεις ένα δηλητηριώδες δάγκωμα! Χρησιμοποίησε Αντιτοξική Αλοιφή ή ένα Detox Σετ!,Je hebt een giftige beet! Gebruik de tegengif zalf of een detox kit!,Bạn đang bị một vết cắn nhiễm độc! Sử dụng thuốc mỡ giải độc hoặc một bộ giải độc!
igmEffectRadiationPoisoning,"You got radiation poisoning! Use Antiradiation Pills, Antiradiation Injection or a Decontamination Kit!","Strahlenvergiftung! Nutze Anti Strahlungstabletten, Anti Strahlungsinjektion oder ein Dekontaminations Kit!","Vous êtes victime d'un Empoisonnement par Irradiation! Utilisez des pilules Antiradiation, une Injection Antiradiation ou un kit Décontamination!","Hai contratto un avvelenamento da radiazioni. Utilizza delle Pillole Antiradiazioni, un Iniezione Antiradiazioni o un Kit di Decontaminazione!",Tienes un envenenamiento por radiación severo. Busca una cura o morirás,Sofreu severo envenenamento por radiação. Cure-se ou morrerá,"Você esta com Envenenamento por Radiação. Use as Pílulas Anti-Radiação, Injeção Anti-Radiação ou um kit de Descontaminação!","Masz ciężką chorobę popromienną! Zażyj tabletek antyradiacyjnych, zastrzyku antyradiacyjnego albo zestawu do dezynfekcji!","У вас радиационное отравление. Используйте Таблетки антирадиационные, Инъекцию антирадиационную или Комплект дезактивации!",重度の放射線を浴びてしまった。至急、治療しなければ死ぬことになります。,你受到严重辐射中毒！赶紧使用抗辐射药片，抗辐射注射液或净化医疗包！,你輻射中毒已深。迅速治療否則你將死亡,심한 방사선에 중독되었습니다. 치료를 받지 않으면 죽게 됩니다.,"Radyasyon Zehirlenmesi geçiriyosun! Antiradiyasyon Hapları, Antiradiyasyon İğnesi veya Dezenfekte Paketi kullan!","Έχεις δηλητηρίαση από ραδιενέργεια. Χρησιμοποίησε Χάπια κατά της Ραδιενέργειας, Ένεση κατά της Ραδιενέργειας ή ένα Σετ Απολύμανσης!","Je hebt stralingsvergiftiging! Gebruik de Antistralings Pillen, Antistralings Injectie of een Decontaminatie Kit!","Bạn đang bị nhiễm xạ cấp tính! Sử dụng thuốc viên chống phóng xạ, ống tiêm chống phóng xạ hoặc một bộ khử độc."
igmEffectFoodPoisoning,"You are suffering from food poisoning. Use Antitoxic Pills, Antitoxic Injection or a Detox Kit!","Du hast eine Lebensmittelvergiftung.Nutze Entgiftungspillen, Gegengift-Injektion oder ein Detox Kit!","Vous souffrez d'une Intoxication Alimentaire. Utilisez des Pilules Antitoxiques, une Injection Antitoxique ou un Kit Désintoxication!","Hai contratto un avvelenamento da cibo. Utilizza delle pillole antitossiche, un iniezione antitossica o un Kit di Disintossicazione.",Te has intoxicado. Usa un remedio apropiado (Kit médico o píldora de estómago) para curar el envenenamiento,Tem uma intoxicação alimentar. Utilize um remédio adequado (ex.: medikit ou comprimido para o estômago) para tratar o envenenamento!,"Você esta com Intoxicação Alimentar. Use Pílulas Anti-Tóxicas, Injeção Anti-Tóxica ou um Kit Detox!","Cierpisz na zatrucie pokarmowe. Weź tabletki antytoksynowe, zastrzyk z antytoksyną albo użyj zestawu do detoksykacji!","Вы страдаете от пищевого отравления. Используйте Таблетки антитоксиновые, Инъекцию антитоксиновую или Комплект детоксикации!",食中毒になっています。中毒を治すために、適切な救済策(例えば、メディキットや胃薬)を使用してください！,你上吐下泻，食物中毒！赶紧使用抗毒药片，抗毒注射液或解毒医疗包！,你食物中毒了。使用恰當的自救方式（如醫療包或胃藥）治療中毒狀態！,식중독에 걸렸습니다. 식중독을 치료하는 적절한 치료법(예: 메디킷 또는 위장약)을 사용하십시오!,"Gıda zehirlenmesi geçiriyorsun. Antitoksik Haplar, Antitoksik İğne veya Detoks Paketi kullan!","Υποφέρεις από Τροφική Δηλητηρίαση. Χρησιμοποίησε Αντιτοξικά Χάπια, Αντιτοξική Ένεση ή ένα Σετ Detox!","Je hebt voedselvergiftiging. Gebruik de Tegengif Pillen, Antitoxic Injection or a Detox Kit!","Bạn đang bị ngộ độc thực phẩm. Sử dụng thuốc viên giải độc, ống tiêm giải độc hoặc bộ giải độc!"
igmEffectBrokenLeg,You got a broken leg! Use Bandages or the Trauma Kit!,Du hast dir ein Bein gebrochen. Benutze Bandagen oder ein Trauma Kit!,Vous avez une Jambe Cassée! Utilisez des Bandages ou un Kit Trauma ou un Poste médical T2!,Ti sei rotto la gamba. Utilizza delle bende o un Kit per Traumi.,Tienes una pierna rota! ¡Usa vendajes o el kit de trauma!,,Você Quebrou sua Perna. Usa as Ataduras ou um Kit Trauma!,Złamałeś nogę! Użyj bandażu albo zestawu pourazowego!,Вы сломали ногу. Используйте Бинты или Комплект от травм!,足を負傷しました。 外傷治療キットを使用してください。,你的腿摔断了。使用绷带或外科医疗包。,,,Bacağın kırıldı! Bandajlar veya Travma Paketi kullan!,Έχεις σπάσει το πόδι σου. Χρησιμοποίησε επιδέσμους ή ένα Σετ Τραύματος!,,
igmEffectBandages,You applied Bandages.,Bandagen angewendet,Vous avez appliqué des bandages.,Hai utilizzato delle Bende.,Aplicaste vendajes,,Você usous as Ataduras.,Zastosowałeś bandaże.,Вы применили Бинты.,包帯を使用しました,你使用了绷带。,,,Bandaj kullandın.,Έβαλες Επιδέσμους.,Je hebt een verband gebruikt,Bạn đã sử dụng băng gạc
igmEffectMedikit01,You applied a Trauma Kit.,Trauma Kit angewendet,Vous avez appliqué un Kit Trauma.,Hai utilizzato un Kit per Traumi.,Aplicaste Kit de Traumas,,Você usou um Kit Trauma.,Zastosowałeś zestaw pourazowy.,Вы применили Комплект от травм.,外傷キットを使用しました,你使用了外科医疗包。,,,Travma Paketi kullandınız.,Έβαλες ένα Σετ Τραύματος.,Je hebt een trauma kit gebruikt,Bạn đã sử dụng một bộ chữa chấn thương
imgEffectMedikit02,You applied a Detox Kit.,Detox Kit angewendet,Vous avez appliqué un Kit Désintoxication.,Hai utilizzato un Kit di Disintossicazione.,Aplicaste Kit de Desintoxicación.,,Você usou um Kit Detox.,Zastosowałeś zestaw do detoksykacji.,Вы применили Комплект детоксикации.,解毒キットを使用しました,你使用了解毒医疗包。,,,Detoks Paketi kullandınız.,Έβαλες ένα Σετ Detox.,Je hebt een detox kit gebruikt,Bạn đã sử dụng một bộ giải độc
imgEffectMedikit03,You applied a Decontamination Kit.,Dekontaminations Kit angewendet,Vous avez appliqué un Kit Décontamination.,Hai utilizzato un Kit di Decontaminazione.,Aplicaste Kit de Decontamination.,,Você usou um Kit de Descontaminação.,Zastosowałeś zestaw do dezynfekcji.,Вы применили Комплект дезактивации.,除染キットを使用しました,你使用了净化医疗包。,,,Bir Dezenfekte Paketi kullandınız.,Έβαλες ένα Σετ Απολύμανσης.,Je hebt een decontaminatie kit gebruikt,Bạn đã sử dụng một bộ khử độc
imgEffectMedikit04,You applied a Health Pack.,Regenerations Pack angewendet,Vous avez appliqué un Composé régénérant.,Hai utilizzato un Iniezione Rigenerante.,Usaste Pack de Salud,,Você usou um Pacote de Saúde.,Zastosowałeś zestaw do regeneracji.,Вы применили Комплект оздоровления.,ヘルスパックを使用しました,你使用了保健医疗包。,,,Bir Sağlık Paketi kullandınız.,Έβαλες ένα Ιατρικό Πακέτο.,Je hebt een gezondheidspakket gebruikt,Bạn đã sử dụng một gói y tế
igmEffectMedikitApplied,You applied a MediKit.,Medikit angewendet,Vous avez appliqué un Médikit.,Hai utilizzato un Kit Medico.,Aplicaste un Medikit,,Você usou um Kid Médico.,Zastosowałeś apteczkę.,Вы применили Аптичку.,メディキットを使用しました,你使用了医疗包。,,,Bir Sağlık Paketi kullandınız.,Έβαλες ένα Ιατρικό Σετ.,Je hebt een eerste hulp kit gebruikt,
MedikitApplied,Health increases,Gesundheit steigt,Niveau de Santé augmente,La tua Salute aumenta,Incremento de Salud,,Recuperando Saúde,Zdrowie wzrasta,Здоровье увеличино,ヘルスが増加,生命回复中,,,Sağlık artıyor,Η ζωή αυξάνεται,Gezondheid neemt toe,Tăng sức khoẻ
igmNotResource,This Item is not Required,Dieser Gegenstand kann nicht verwendet werden,Cet élément ne peut pas être utilisé,Questo oggetto non è richiesto,No es necesario utilizarlo,,Este item não é Necessário,Ten przedmiot nie jest wymagany,Этот предмет не требуется,このアイテムは不要です,此物品无用处。,,,Bu nesne gerekli değildir,Αυτό το αντικείμενο δεν Απαιτείται,Dit item is niet nodig,
rtbRepairBay,Repair Bay,Reparaturplattform,Plateforme de réparation,Piattaforma di Riparazione,Consola de Reparación,,Reparar Baia,Platforma naprawcza,Ремонтировать отсек,リペアベイ,维修平台,,,Tamirhane,Σταθμός Επισκευής,Reparatie station,gian sửa chữa
rtbRepairBlocks,Repair Blocks,Schäden reparieren,Réparer dommages,Ripara Blocchi,Bloque de Reparación,,Reparar Blocos,Bloki naprawcze,Ремонтировать блоки,ブロックを修理,维修方块组,,,Tamir Blokları,Επισκευή Μπλοκ,Repareer blokken,Khối sửa chữa
rtbRepair2BP,Repair to Template,Reparieren nach Vorlage,Blocs manquants,Ripara secondo il Progetto,Reparación de Plantilla,,Reparar do Modelo,Napraw na wzór projektu,Ремонтировать шаблон,テンプレートへ復元,按模板复原,,,Şablonla Tamir Et,Επισκευή σε Πρότυπο,Repareer naar template,
rtbRepair,Start Repair,Reparatur starten,Démarrer,Inizia Riparazione,Iniciar Reparación,,Iniciar Reparação,Rozpocznij naprawę,Начать ремонт,リペア開始,开始维修,,,Tamiri Başlat,Έναρξη Επισκευής,Start reparatie,Bắt đầu sửa chữa
lblTotalRepairTime,Total Repair Time:,Reparaturzeit,Temps total réparation:,Tempo di Riparazione Totale:,Tiempo Total de Reparación:,,Tempo Total de Reparação:,Całkowity czas naprawy:,Общее время ремонта:,総リペア時間,总维修时间：,,,Toplam Tamir Süresi:,Συνολικός Χρόνος Επισκευής:,Totale reparatietijd,Tổng thời gian sửa chữa:
titleRepairBay,REPAIR BAY,REPARATURPLATTFORM,PLATEFORME DE RÉPARATION,Piattaforma di Riparazione,CONSOLA de REPARACION,,BAIA DE REPARAÇÂO,PLATFORMA NAPRAWCZA:,ОТСЕК РЕМОНТА,リペアベイ,维修平台,,,TAMİRHANE,ΣΤΑΘΜΟΣ ΕΠΙΣΚΕΥΗΣ,REPARATIESTATION,GIAN SỬA CHỮA
rtbLastSaved,Last Saved:,Reparaturvorlage zuletzt gespeichert:,Dernière sauvegarde :,Ultimo Salvato:,Ultimo Guardado:,,Último Salvamento do Modelo de Reparação:,Ostatnio zapisane:,Последнее сохранение:,リペアテンプレート最終保存,最近保存的：,,,Son Kayıt:,Τελευταίο Αποθηκευμένο:,Laatst opgeslagen:,
bhiRateofNPCSpawn,Influences the spawn rate of enemy NPCs on a planet. Only affects areas of a planet that have not yet been visited.,Beeinflusst die Spawnrate der feindlichen NPC pro Planet.,Modifie le taux de réapparition des PNJ ennemis sur une planète. N'affecte que les zones d'une planète qui n'ont pas encore été visitées.,Influenza la frequenza di spawn dei PNG nemici sui pianeti. Influenza solo le aree non ancora visitate di un pianeta.,Influye la tasa de creación de enemigos NPCs en un planeta.,Influencia a taxa de criação de NPC inimigos num planeta.,Influencia a taxa de spawn dos NPCs inimigos em um planeta. Afeta apenas areas do planeta que ainda não foram visitadas.,Wpływa na szybkość odradzania się wrogich NPC na planecie (spawn rate). Dotyczy tylko jeszcze nieodkrytych obszarów.,"Влияет на скорость возрождения вражеских НИП на планете. Влияет только на участки планеты, которые еще не посетили.",敵性ＮＰＣの総数を設定します。,影响星球敌对生物的刷新速度。只影响星球上尚未有人到访过的区域。,影響每個星球的敵方NPC生成速度。,행성에 대한 적 NPC의 스폰 속도에 영향을 미칩니다.,Bir gezegendeki düşman Npc'lerinin Doğma oranını etkiler. Sadece henüz ziyaret edilmemiş bir gezegenin alanlarını etkiler.,Επηρεάζει την ταχύτητα αναπαραγωγής των NPC του εχθρού σε έναν πλανήτη. Επηρεάζει περιοχές του πλανήτη που δεν έχουν ακόμα επισκεφτεί.,"Beïnvloed de spawn ratio van vijandige NPC's op een planeet. Enkel delen van een planeet, of planeten die nog niet zijn bezocht.",
rtbDoesNotExist,No vessel parked on Repair Bay,Reparaturplattform nicht belegt,Aucun vaisseau sur la plateforme de réparation,Determina la velocità della fabbrica nel costruire i progetti e delle Piattaforme di Riparazione,Ninguna nave estacionada en la Bahía de Reparación,,Nenhuma Nave estacionada na Baia de Reparação,Brak statku na platformie,Нет припаркованных судов в Ремонтоном отсеке,リペアベイ上に機体がありません,没有飞船停靠在维修平台,,,Tamirhanede hiç gemi yok,Δεν έχεις παρκάρει κανένα όχημα στον Σταθμό Επισκευής,Geen schepen op reparatie station geparkeerd,Không có con tàu nào đậu trên gian sửa chữa
igmRepairNoSpace,Area blocked. Repair Template does not fit into available space!,Areal zu klein. Reparaturvorlage passt nicht in den verfügbaren Raum!,Zone encombrée ou trop petite. Le vaisseau ne tient pas dans l'espace disponible!,Area Bloccata. Il modello di riparazione non si adatta allo spazio disponibile!,Área bloqueada. ¡El área de reparación no cabe en el espacio disponible!,,Área bloqueada. O Modelo de Reparação não cabe no espaço disponível!,Brak wystarczającej przestrzeni aby zmieścić wybrany projekt!,Область заблокирована. Ремонт шаблона не вписывается в свободное пространство!,テンプレート復元結果が利用可能スペースに収まらないため、続行できません,区域物品堵塞。维修模板无可用空间！,,,Alan engellendi. Tamir şablonu mevcut alana sığmaz!,Μπλοκαρισμένη Περιοχή. Το Πρότυπο επισκευής δεν χωράει στον διαθέσιμο χώρο!,Gebied geblokkeerd. Reparatie template past niet binnen beschikbare ruimte!,
igmOpenRepairBayConsole,Open Repair Console,Reparaturkonsole öffnen,Ouvrir la Console de réparation,Apri Consolle Riparazioni,Abrir Consola de Reparación,,Abrir o Console de Reparação,Otwórz konsolę naprawy,Откройте консоль ремонта,リペアコンソールを開く,打开维修面板,,,Tamir Konsolunu Aç,Άνοιγμα Κονσόλας Επισκευής,Open reparatie console,Mở bảng điều khiển sửa chữa
tipSaveBP,Saves the current layout as a Repair Template,Speichere das aktuelle Layout als Reparaturvorlage,Sauvegarde le modèle actuel du vaisseau,Nessun Vascello parcheggiato sulla Piattaforma di Riparazione,Guarda el diseño actual como una plantilla de reparación,,Salva o layout atual como Modelo de Reparação,Zapisuje obecny układ jako projekt naprawy,Сохраняет текущий макет как шаблон восстановления,現在の配置がテンプレートに保存されました,保存当前的设计作为一个维修模板,,,Geçerli düzeni bir tamir şablonu olarak kaydeder,Αποθηκεύει το τρέχον σχέδιο σαν Πρότυπο Επισκευής,Slaat de huidige layout op als reparatie template,
tipRepair2BP,Adds back missing blocks to this vessel up to its last saved Repair Template,Ergänzt fehlende Blöcke basierend auf der aktuellsten Reparaturvorlage,Rajoute les blocs manquants au vaisseau par rapport au dernier modèle sauvegardé,Ripristina i blocchi mancanti a questo vascello basandosi sull'ultimo Modello di Riparazione salvato,"Agrega bloques faltantes a la nave, hasta su última plantilla de reparación guardada",,Adicionar novamente blcoos removidos á esta nave no último salvamento do Modelo de Reparação,Przywraca brakujące bloki statku bazując na ostatnim zapisanym projekcie naprawy,Добавляет недостающие блоки к этому судну до последнего сохраненного шаблона ремонта,最後に保存されたリペアテンプレートまで、この乗り物に失われたブロックを追加します。,按照最近保存的维修模板为此飞船修理、补充相应损坏、缺失的方块,,,Bu gemiye eksik Blokları en son kaydedilen tamir şablonuna geri ekler,Προσθέτει τα μπλοκ που λείπουν σε αυτό το όχημα σύμφωνα με το αποθηκευμένο Πρότυπο Επισκευής,Plaatst missende blokken terug op dit voertuig tot de laatst opgeslagen reparatie template.,
tipRepairBlocks,Repairs damaged blocks of this vessel,Repariere beschädigte Blöcke,Répare les blocs endommagés du vaisseau,Ripara i Blocchi Danneggiati di questo Vascello,Repara los bloques dañados de la nave.,,Repara blocos danificados desta nave,Naprawia uszkodzone bloki statku,Ремонтирует поврежденные блоки этого судна,この乗り物のブロックのダメージを修復します,修理此飞船损坏的方块,,,Bu geminin hasarlı Bloklarını Tamir eder,Επισκευάζει κατεστραμμένα μπλοκ αυτού του οχήματος,Repareert beschadigde blokken van dit voertuig.,Sửa chữa khối hư hỏng của tàu
igmBackupSaved,Repair Template Saved,Reparaturvorlage gespeichert,Modèle du vaisseau sauvegardé,Ripara in Base al Modello Salvato,Reparar plantilla guardada,,Modelo de Reparação Salvo,Projekt naprawy zapisany,Шаблон ремонта сохранен,リペアテンプレート保存,维修模板已保存,,,Tamir Şablonu Kaydedildi,Το Πρότυπο Επισκευής Αποθηκεύτηκε,Reparatie template opgeslagen,
cplLastSaved,Last Saved:,Zuletzt gespeichert:,Dernière sauvegarde:,Ultimo Salvato:,Guardada por Última Vez:,,Último Salvamento:,Ostatnio zapisane:,Последнее сохранение:,最終保存,最近的存档：,,,Son Kaydedilen:,Τελευταία Αποθήκευση:,Laatst opgeslagen,Lần lưu cuối
